번호,책제목,작가,출판사
1,성냥팔이 소녀,안데르센,계림
2,세 가지 질문,레오 톨스토이,달리
3,꽃을 좋아하는 소 페르디난드,먼로 리프,비룡소
4,탈무드,한상남,삼성출판사
5,심부름,천즈위엔,은행나무
6,거지인가 왕자인가,로버트 멍어,IVP
7,꾸러기와 몽당연필,강소천,가교
8,기차 할머니,파울 마르,가나 출판사
9,편지를 기다리는 마초바 아줌마,하리에트 그루네발트,가치창조
10,동이의 신기한 카메라,이병승,강같은 평화
11,15소년 표류기,쥘베른,계림
12,2학년 동화집,김양순,계림
13,2학년논술+글짓기,김양순,계림
14,80일간의 세계 일주,쥘베른,계림
15,꼬마 철학자(전4권),수테르 페로,계림
16,내 마음의 동시,김양순,계림
17,따뜻한 사랑이 담긴 이야기,우리기획,계림
18,미운 아기 오리,우리기획,계림
19,새 교과서 학습동화 2학년 수학,원유순,계림
20,이솝우화,이솝,계림
21,작은 아씨,올컷,계림
22,저학년 호기심 대 천국,이범기,계림
23,저학년속담,강주현,계림
24,저학년수수께끼,강주현,계림
25,콩쥐팥쥐,초록개구리,계림
26,파브르 곤충기,파브르,계림
27,팔방이의 명심보감,임응순,계림
28,할머니의 편지,배지은,계림
29,행복한 왕자,오스카와일드,계림
30,환경 내가 지켜요,우리 기획,계림
31,레나는 축구왕,키르스텐 보예,게림북스쿨
32,세종대왕,석용원,계몽사
33,주시경,정재도,계몽사
34,너는 특별하단다2,맥스 루케이도,고슴도치
35,절름발이 양,맥스 루케이도,고슴도치
36,고마운 분들,이슬기,교학사
37,어린이 예절 생활,김무전,교학사
38,왜 깨끗이 씻어야 할까,프랑수아즈 라스투엥,교학사
39,자동차 괴물은 싫어,윤종환,교학사
40,제비네 집은 어딘데?,김남길,교학사
41,파스퇴르,이준연,교학사
42,"도서관에 가지마, 절대로",이오인 콜퍼,국민서관
43,의좋은 형제,이현주,국민서관
44,엄마 없는 날,이원수,권문희
45,어린이 기도가 전부 응답된 사람,주니어 규장 집필팀,규장
46,고맙다 정보야!,이인식,그레이트북스
47,그림 지도로 본 일곱 대륙,전현정,그레이트북스
48,맑은 날 흐린 날,정은주,그레이트북스
49,"사막의 푸른 전사, 투아레그",정재윤,그레이트북스
50,서윤이네 가족 신문,전현정,그레이트북스
51,세상을 바꾼 도구,설완식,그레이트북스
52,수민이의 과자회사,박서영,그레이트북스
53,옛날 옷 지금 옷,정은주,그레이트북스
54,우리 가족 (생활 속 사회 탐구),류증희,그레이트북스
55,우리 옛 것에 숨은 과학 (생활 속 사회 탐구),정은영,그레이트북스
56,할아버지의 사진,류증희,그레이트북스
57,뚝딱- 뚝딱!,제임스 덴버,그린북
58,교과서 만화 수학 2학년,윤준환,글수레
59,교통과 운송,출판사 엮음,길벗어린이
60,동네 한바퀴,조은수,길벗어린이
61,모기와 황소,현동엽,길벗어린이
62,물건은 어떻게 만들까,길벗어린이 편집부,길벗어린이
63,바위나리와 아기별,마해송,길벗어린이
64,보리밭은 재미있다,이상권,길벗어린이
65,사물놀이,조혜란,길벗어린이
66,재고 세고!,박남일,길벗어린이
67,쨍하고 해뜰날,펠릭스 피라니,김영사
68,참새와 허수아비,양경한,꼬마나라
69,2학년이 꼭 읽어야 할 동화,심후섭,꿈이있는집
70,카펫 소년의 선물,페기 다이츠 세어,꿈터
71,괜찮아,고정욱,낮은산
72,꼬마 할머니의 비밀,다카도노 호코,논장
73,생각하는 1 2 3,이보나 흐미엘레프스카,논장
74,아빠 고르기,채인선,논장
75,우리 선생님 최고,하이타니겐지로,논장
76,우리들만의천국,"존로,윤여림",논장
77,줄어드는 아이 트리혼,플로렌스 패리 하이드,논장
78,분이는 큰일났다,오지언,느림보
79,"으악, 도깨비다!",손정원,느림보
80,페르디의 가을나무,줄리아 로린슨,느림보
81,에이미와 루이,리비 글레슨,다다북스
82,나는 꿈이 너무 많아,김리리,다림
83,엄마는 거짓말쟁이,김리리,다림
84,은자로 마을 토토,민은경,다림
